物料名称,货号,规格,采购次数,历史均价,最低价,最高价,价差,有价差,价差异常原因,最近供应商,最近采购日期,最近单价
UltraGRO™ Advanced,HPCFDCGL50,500ml/瓶,4,14500.0,14500.0,14500.0,0.0,否,,上海华雅思创生物科技有限公司,2026-01-13,14500.0
TSA(55mm）,CP0201J,14袋/箱,4,406.0,406.0,406.0,0.0,否,,广东环凯微生物科技有限公司,2025-11-06,406.0
无血清培养基,88-581-CM,1L/瓶,4,512.5,490.0,535.0,45.0,是,,北京赛泰克生物科技有限公司,2026-03-24,535.0
洗涤灵,无,无,4,22.92,13.38,30.9,17.52,是,电商正常波动,,2026-03-31,30.5
支原体检测试剂盒,FM301-02,50test,4,2310.0,2310.0,2310.0,0.0,否,,北京全式金生物技术股份有限公司,2026-02-13,2310.0
重组人IL-2蛋白（高效型）,GMP-TL906,100ug,3,560.0,560.0,560.0,0.0,否,,北京安杰诺科技有限公司,2026-03-24,560.0
过滤器,无,无,3,551.65,551.65,551.65,0.0,否,,,2025-09-22,551.65
4分对丝,无,无,3,4.45,4.45,4.45,0.0,否,,,2025-09-22,4.45
4分三通,无,无,3,19.71,19.71,19.71,0.0,否,,,2025-09-22,19.71
PPR4分管,无,无,3,28.8,28.8,28.8,0.0,否,,,2025-09-22,28.8
PPR4分弯头,无,无,3,15.21,15.21,15.21,0.0,否,,,2025-09-22,15.21
PPR4分三通,无,无,3,8.91,8.91,8.91,0.0,否,,,2025-09-22,8.91
PPR4分外丝,无,无,3,32.5,32.5,32.5,0.0,否,,,2025-09-22,32.5
PPR4分接头,无,无,3,8.91,8.91,8.91,0.0,否,,,2025-09-22,8.91
110mmPVC管,无,无,3,121.72,121.72,121.72,0.0,否,,,2025-09-22,121.72
110mmPVC弯头,无,无,3,21.6,21.6,21.6,0.0,否,,,2025-09-22,21.6
PVC胶水,无,无,3,23.9,23.9,23.9,0.0,否,,,2025-09-22,23.9
110PVC管封堵,无,无,3,2.03,2.03,2.03,0.0,否,,,2025-09-22,2.03
110开孔器,无,无,3,73.9,73.9,73.9,0.0,否,,,2025-09-22,73.9
表箱,无,无,3,23.85,23.85,23.85,0.0,否,,,2025-09-22,23.85
分线端子,无,无,3,33.66,33.66,33.66,0.0,否,,,2025-09-22,33.66
2.5红线,无,无,3,127.0,127.0,127.0,0.0,否,,,2025-09-22,127.0
2.5黄线,无,无,3,127.0,127.0,127.0,0.0,否,,,2025-09-22,127.0
2.5绿线,无,无,3,127.0,127.0,127.0,0.0,否,,,2025-09-22,127.0
压线端子,无,无,3,7.9,7.9,7.9,0.0,否,,,2025-09-22,7.9
25线缆,无,无,3,27.5,27.5,27.5,0.0,否,,,2025-09-22,27.5
焊接丝头,无,无,3,2.0,2.0,2.0,0.0,否,,,2025-09-22,2.0
内丝直通,无,无,3,9.6,9.6,9.6,0.0,否,,,2025-09-22,9.6
1.5²控制线,无,无,3,150.1,150.1,150.1,0.0,否,,,2025-09-22,150.1
导轨,无,无,3,10.6,10.6,10.6,0.0,否,,,2025-09-22,10.6
水表,无,无,3,255.0,255.0,255.0,0.0,否,,,2025-09-22,255.0
气表,无,无,3,920.0,920.0,920.0,0.0,否,,,2025-09-22,920.0
改BMS程序,无,无,3,8414.0,8414.0,8414.0,0.0,否,,,2025-09-22,8414.0
工业加湿器,无,无,3,4800.0,4800.0,4800.0,0.0,否,,,2025-09-22,4800.0
仪表计量,无,无,3,3730.0,3730.0,3730.0,0.0,否,,,2025-09-22,3730.0
变频器,无,无,3,5417.2,5417.2,5417.2,0.0,否,,,2025-09-22,5417.2
改造费,无,无,3,27823.0,27823.0,27823.0,0.0,否,,,2025-09-22,27823.0
再验证设备计量,无,无,3,6071.0,6071.0,6071.0,0.0,否,,,2025-09-22,6071.0
再验证耗材,无,无,3,3799.0,3799.0,3799.0,0.0,否,,,2025-09-22,3799.0
文件袋,无,无,3,14.66,9.28,23.18,13.9,是,电商正常波动,,2026-05-09,11.52
NK细胞诱导扩增试剂盒（高性能版）,AN0104-2,NA,3,2160.67,1482.0,2500.0,1018.0,是,,友康厚德生物制品（北京）有限公司,2025-09-02,1482.0
接触器,无,无,3,61.22,47.11,68.28,21.17,是,电商正常波动,京东,2025-04-29,47.11
交换机,无,无,3,69.0,69.0,69.0,0.0,否,,,2025-04-29,69.0
氯化钠注射液,,250ml：2.25g,3,8.0,8.0,8.0,0.0,否,,十济民医院（东莞）有限公司,2026-04-13,8.0
TrypLE Express,12604-021,500ml/瓶,3,696.0,696.0,696.0,0.0,否,,上海华雅思创生物科技有限公司,2025-10-22,696.0
T175瓶,159910,30个/箱,3,450.0,450.0,450.0,0.0,否,,上海华雅思创生物科技有限公司,2025-10-22,450.0
AO/PI染料,N3AP050,5ml/瓶,3,786.0,786.0,786.0,0.0,否,,微光智控（北京）科技有限公司,2026-04-16,786.0
一次性纸杯,无,无,3,13.17,12.26,14.36,2.1,是,电商正常波动,,2026-03-31,14.36
抗人CD3单克隆抗体,GMP-TL101-0500,500ug,2,700.0,700.0,700.0,0.0,否,,北京安杰诺科技有限公司,2026-03-24,700.0
衡洁  75%酒精,100177802156,75%  2.5L/桶,2,22.8,22.0,23.61,1.61,是,,武洁（VUJEEN)医疗保健京东自营旗舰店,2025-12-15,23.61
碱性碘化汞钾试液(HJ 535-2009 二氯化汞-碘化钾-氢氧化钾),BWZ8113-2016,500ml/瓶,2,672.0,672.0,672.0,0.0,否,,北京林萘生物科技有限公司,2025-06-30,672.0
甲酸,FZ-0012508-500ml,500ml/瓶,2,590.0,380.0,800.0,420.0,是,,北京建强伟业科技有限公司,2025-04-27,800.0
排风扇,无,无,2,196.0,142.1,249.9,107.8,是,已解释——批量折扣,京东,2026-03-09,142.1
重组人IL-α蛋白,TL-109-0010,10ug,2,700.0,700.0,700.0,0.0,否,,北京安杰诺科技有限公司,2026-03-18,700.0
数字量输入模块DI16x24VDC,无,无,2,570.0,570.0,570.0,0.0,否,,京东,2025-04-23,570.0
ET200SP总线适配器,无,无,2,373.0,373.0,373.0,0.0,否,,京东,2025-04-23,373.0
ET200SP接口模块,无,无,2,1358.0,1358.0,1358.0,0.0,否,,京东,2025-04-23,1358.0
绿色按钮,无,无,2,45.0,45.0,45.0,0.0,否,,京东,2025-04-23,45.0
红色按钮,无,无,2,45.0,45.0,45.0,0.0,否,,京东,2025-04-23,45.0
黄色指示灯,无,无,2,8.4,8.4,8.4,0.0,否,,京东,2025-04-23,8.4
绿色指示灯,无,无,2,8.4,8.4,8.4,0.0,否,,京东,2025-04-23,8.4
红色指示灯,无,无,2,8.4,8.4,8.4,0.0,否,,京东,2025-04-23,8.4
电表,无,无,2,350.0,350.0,350.0,0.0,否,,京东,2025-04-23,350.0
热保护,无,无,2,96.67,96.67,96.67,0.0,否,,京东,2025-04-23,96.67
辅助触点,无,无,2,16.58,16.58,16.58,0.0,否,,京东,2025-04-23,16.58
断路器,无,无,2,380.07,380.07,380.07,0.0,否,,,2025-04-23,380.07
打印机硒鼓,无,无,2,175.6,175.2,176.0,0.8,是,电商正常波动,京东,2026-01-21,175.2
G4过滤器,无,595*595*46mm,2,45.65,45.65,45.65,0.0,否,,,2025-11-24,45.65
F7过滤器,无,595*595*20*300*6P,2,83.19,83.19,83.19,0.0,否,,,2025-11-24,83.19
F9过滤器,无,595*595*20*550*6P,2,112.76,112.76,112.76,0.0,否,,,2025-11-24,112.76
集菌培养器,APY330C,48套/箱,2,1392.0,1392.0,1392.0,0.0,否,,北京中研华誉生物技术有限公司,2026-04-10,1392.0
5号电池,无,无,2,25.4,25.4,25.4,0.0,否,,,2026-03-04,25.4
U盘,无,无,2,42.9,32.9,52.9,20.0,是,电商正常波动,京东,2026-01-20,52.9
气瓶,无,40L,2,800.0,800.0,800.0,0.0,否,,京东,2026-04-02,800.0
笔记本,无,无,2,13.79,4.0,23.59,19.59,是,已解释——批量折扣,京东,2025-10-30,4.0
TransDetect Luciferase Mycoplasma Detection Kit,FM301-02,50T,2,2310.0,2310.0,2310.0,0.0,否,,全式金,2026-04-15,2310.0
84消毒液,无,无,2,50.25,29.9,70.61,40.71,是,电商正常波动,,2025-09-10,29.9
洁厕灵,无,无,2,99.25,88.6,109.9,21.3,是,电商正常波动,,2026-05-09,88.6
培养瓶225m²,C0N-431082,5个/包,2,140.74,140.735,140.735,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-02-26,140.735
拖把,无,无,2,81.74,64.9,98.58,33.68,是,电商正常波动,京东,2025-10-11,64.9
茶叶,无,无,2,77.2,59.9,94.5,34.6,是,电商正常波动,京东,2025-10-11,59.9
250ml锥形离心管,376814,40个/箱,2,465.0,465.0,465.0,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2025-12-02,465.0
黑色大垃圾袋,无,无,2,15.42,15.0,15.84,0.84,是,电商正常波动,,2026-03-31,15.84
签字笔,无,无,2,19.62,18.81,20.42,1.61,是,电商正常波动,京东,2025-06-19,20.42
细胞培养袋,NCB-22H,50个/箱,2,6150.0,6150.0,6150.0,0.0,否,,埃克森（北京）科技有限公司,2026-02-26,6150.0
IgG1-FITC,S0264,100T,2,624.0,624.0,624.0,0.0,否,,北京旷博生物技术股份有限公司,2026-03-31,624.0
IgG2a-PE,S0275,100T,2,762.0,762.0,762.0,0.0,否,,北京旷博生物技术股份有限公司,2026-03-31,762.0
5ml细胞冻存管,OB02007,25个/包，1000个/箱,1,3600.0,3600.0,3600.0,0.0,否,,北京钎铧科技,2026-03-27,3600.0
硒鼓,100022819707,适用于HP103a打印机,1,56.0,56.0,56.0,0.0,否,,添彩（TIANCAI）耗材京东自营旗舰店,2025-09-26,56.0
洗衣粉,无,10kg,1,57.9,57.9,57.9,0.0,否,,京东,2026-01-21,57.9
84消毒液,无,5kg,1,27.9,27.9,27.9,0.0,否,,,2026-01-21,27.9
APC anti-human CD105,323208,100 tests,1,2685.0,2685.0,2685.0,0.0,否,,达科为,2025-07-15,2685.0
APC anti-human CD19,302212,100 tests,1,898.0,898.0,898.0,0.0,否,,达科为,2025-07-15,898.0
FITC anti-human CD90 (Thy1),328108,100 tests,1,1958.0,1958.0,1958.0,0.0,否,,达科为,2025-07-15,1958.0
FITC anti-human CD45,304006,100 tests,1,616.0,616.0,616.0,0.0,否,,达科为,2025-07-15,616.0
PE/Cyanine7 anti-human CD73 (Ecto-5'-nucleotidase),344010,100 tests,1,2967.0,2967.0,2967.0,0.0,否,,达科为,2025-07-15,2967.0
PE/Cyanine7 anti-human HLA-DR,307616,100 tests,1,2659.0,2659.0,2659.0,0.0,否,,达科为,2025-07-15,2659.0
PE anti-human CD34,343506,100 tests,1,2334.0,2334.0,2334.0,0.0,否,,达科为,2025-07-15,2334.0
PE anti-human CD11b,301306,100 tests,1,941.0,941.0,941.0,0.0,否,,达科为,2025-07-15,941.0
"APC Mouse IgG1, κ Isotype Ctrl (FC)",400122,100 tests,1,1317.0,1317.0,1317.0,0.0,否,,达科为,2025-07-15,1317.0
"APC Mouse IgG1, κ Isotype Ctrl",400120,100 μg,1,752.0,752.0,752.0,0.0,否,,达科为,2025-07-15,752.0
"FITC Mouse IgG1, κ Isotype Ctrl (FC)",400110,100 tests,1,915.0,915.0,915.0,0.0,否,,达科为,2025-07-15,915.0
"FITC Mouse IgG1, κ Isotype Ctrl",400107,50 μg,1,257.0,257.0,257.0,0.0,否,,达科为,2025-07-15,257.0
"PE/Cyanine7 Mouse IgG1, κ Isotype Ctrl",400126,100 tests,1,1531.0,1531.0,1531.0,0.0,否,,达科为,2025-07-15,1531.0
"PE/Cyanine7 Mouse IgG2a, κ Isotype Ctrl",400232,100 tests,1,1505.0,1505.0,1505.0,0.0,否,,达科为,2025-07-15,1505.0
"PE Mouse IgG1, κ Isotype Ctrl",400112,100 μg,1,658.0,658.0,658.0,0.0,否,,达科为,2025-07-15,658.0
重组人IL-1α蛋白,TL-109-0010,10ug,1,700.0,700.0,700.0,0.0,否,,北京安杰诺科技有限公司,2026-03-24,700.0
重组人IFN-γ蛋白,GMP-TL105-0200,200ug,1,1120.0,1120.0,1120.0,0.0,否,,北京安杰诺科技有限公司,2026-03-24,1120.0
板式初效过滤器/G4,无,,1,36.5,36.5,36.5,0.0,否,,北京众和绿达净化技术有限公司,2025-10-27,36.5
袋式中效过滤器/F7,无,,1,70.38,70.38,70.38,0.0,否,,北京众和绿达净化技术有限公司,2025-10-27,70.38
袋式中效过滤器/F9,无,,1,82.76,82.76,82.76,0.0,否,,北京众和绿达净化技术有限公司,2025-10-27,82.76
胰酪大豆胨液体培养基(TSB),"HBPP4114-
500",500ml/20瓶/箱,1,340.0,340.0,340.0,0.0,否,,北京中研华誉生物技术有限公司,2026-01-21,340.0
无菌 PH7.0 氯化钠-蛋白胨缓冲液,HBPP8454-500,500ml/瓶*20/箱,1,320.0,320.0,320.0,0.0,否,,北京中研华誉生物技术有限公司,2025-06-27,320.0
Human HGF ELISA Kit检测试剂盒(酶联免疫吸附法),EK1H01,96T,1,1590.0,1590.0,1590.0,0.0,否,,联科生物,2025-07-24,1590.0
Human VEGF ELISA Kit检测试剂盒(酶联免疫吸附法),EK183,96T,1,1590.0,1590.0,1590.0,0.0,否,,联科生物,2025-07-24,1590.0
Human/Mouse TGF-β1 ELISA Kit 检测试剂盒(酶联免疫吸附法),EK981,96T,1,1590.0,1590.0,1590.0,0.0,否,,联科生物,2025-07-24,1590.0
CFSE Cell Division Tracker Kit,423801,1 kit,1,863.0,863.0,863.0,0.0,否,,达科为,2025-07-24,863.0
丝裂霉素C,D419552-50mg,50mg,1,347.9,347.9,347.9,0.0,否,,伊诺凯,2025-07-24,347.9
鞘液,D60062,10L/箱,1,260.0,260.0,260.0,0.0,否,,北京旷博生物技术股份有限公司,2025-12-01,260.0
L型文件套,,,1,10.4,10.4,10.4,0.0,否,,京东,2025-08-06,10.4
60页文件册,,,1,6.33,6.33,6.33,0.0,否,,京东,2025-08-06,6.33
40页文件册,,,1,4.95,4.95,4.95,0.0,否,,京东,2025-08-06,4.95
签字笔,,,1,15.71,15.71,15.71,0.0,否,,京东,2025-08-06,15.71
凤尾夹,,,1,5.38,5.38,5.38,0.0,否,,京东,2025-08-06,5.38
文件盒,,,1,71.1,71.1,71.1,0.0,否,,京东,2025-08-06,71.1
变频器,无,元/台,1,2342.35,2342.35,2342.35,0.0,否,,,2026-03-09,2342.35
电缆,无,元/米,1,67.06,67.06,67.06,0.0,否,,,2026-03-09,67.06
接线端子,无,元/20个,1,42.16,42.16,42.16,0.0,否,,,2026-03-09,42.16
1.5*2软线,无,50米/盘,1,262.77,262.77,262.77,0.0,否,,,2026-03-09,262.77
抗人CD28单克隆抗体,GMP-TL102-0500,500ug,1,700.0,700.0,700.0,0.0,否,,北京同立海源生物科技有限公司,2025-12-18,700.0
康卫仕 一次性使用真空采血管 蓝色PET塑料枸橼酸钠1:9（10ml）100支/盒,无,无,1,92.8,92.8,92.8,0.0,否,,京东,2026-01-21,92.8
总有机碳检查用水,BW5789,500mL/瓶,1,560.0,560.0,560.0,0.0,否,,泉心泉意(上海)生命科技有限公司,2025-10-13,560.0
DMEM,11965092,500ml/瓶,1,320.0,320.0,320.0,0.0,否,,英潍捷基（上海）贸易有限公司,2025-09-02,320.0
F7过滤器,无,595*290*20*300*6P,1,56.25,56.25,56.25,0.0,否,,,2025-11-24,56.25
电磁阀,无,无,1,66.1,66.1,66.1,0.0,否,,京东,2025-11-24,66.1
乙二胺四乙酸二钠滴定溶液标准物质,,"GBW(E)086254，500mL,0.05003mol/L",1,99.0,99.0,99.0,0.0,否,,北京林萘生物科技有限公司,2025-06-05,99.0
氨-氯化铵缓冲液,,"BWZ8050-2016，500mL,10.0",1,99.0,99.0,99.0,0.0,否,,北京林萘生物科技有限公司,2025-06-05,99.0
铬黑T,,Eriochrome Black T|1787-61-7|Adamas|IND|RG|25g 01035555,1,49.0,49.0,49.0,0.0,否,,北京林萘生物科技有限公司,2025-06-05,49.0
苹果电脑充电线,无,无,1,129.0,129.0,129.0,0.0,否,,,2026-03-04,129.0
苹果电脑充电器,无,无,1,289.0,289.0,289.0,0.0,否,,,2026-03-04,289.0
打印机彩色墨粉,无,无,1,319.0,319.0,319.0,0.0,否,,,2026-03-04,319.0
一次性使用塑料血袋,Tr-100ml,500个/箱,1,6400.0,6400.0,6400.0,0.0,否,,山东邦盛医疗器械有限公司,2025-08-01,6400.0
溶液pH值测定,CLSH-00326,CNAS测量审核样品,1,1000.0,1000.0,1000.0,0.0,否,,中国食品药品检定研究院,2026-02-27,1000.0
蒸馏水,1044728,4.5L*4瓶/箱,1,44.9,44.9,44.9,0.0,否,,京东,2025-07-18,44.9
氧浓度传感器,无,无,1,121.5,121.5,121.5,0.0,否,,京东,2025-11-20,121.5
250ml离心管,CFT012250,6个/包，8包/箱,1,336.12,336.12,336.12,0.0,否,,广州洁特生物过滤股份有限公司,2026-03-25,336.12
通用项目,247034,个,1,79.0,79.0,79.0,0.0,否,,京东,2025-12-23,79.0
元旦装饰品,无,无,1,301.65,301.65,301.65,0.0,否,,京东,2025-12-29,301.65
11孔袋,无,无,1,23.86,23.86,23.86,0.0,否,,京东,2025-12-29,23.86
饮水机滤芯,无,无,1,67.0,67.0,67.0,0.0,否,,京东,2025-12-29,67.0
秝客便携输液架 可调节移动式 点滴架吊瓶架 家用诊所用移动式可伸缩,无,店铺爆款-三脚两钩,1,46.72,46.715,46.715,0.0,否,,京东,2025-09-22,46.715
暖火 暖宝宝暖贴40片热敷保暖贴大姨妈神器暖腰暖肚生理期女生暖身贴,无,发热10小时，通用暖贴40片,1,23.9,23.9,23.9,0.0,否,,京东,2025-09-22,23.9
75%医用酒精,NA,2.5L/桶,1,24.65,24.65,24.65,0.0,否,,京东,2026-01-30,24.65
喷水壶,NA,NA,1,4.71,4.71,4.71,0.0,否,,京东,2026-01-30,4.71
移动硬盘,2TB,,1,599.0,599.0,599.0,0.0,否,,京东,2025-10-30,599.0
免疫细胞修复培养基2.0,NC0111.F,200ml/瓶,1,1532.0,1532.0,1532.0,0.0,否,,友康厚德生物制品（北京）有限公司,2025-09-02,1532.0
无菌滤芯,无,0.22μm/10英寸,1,1500.0,1500.0,1500.0,0.0,否,,,2026-04-02,1500.0
GoPro HERO12 Black 运动相机,100062634560,H12官方标配,1,1998.0,1998.0,1998.0,0.0,否,,京东,2025-05-28,1998.0
雷克沙（Lexar）256GB TF（MicroSD）存储卡 V30 A2 读160MB/s 无人机运动相机内存卡 4K超清（1066x）,LMS1066256G-BNNNC,256G,1,209.0,209.0,209.0,0.0,否,,京东,2025-05-28,209.0
TELESIN(泰迅)大疆action5 pro挂脖action4 3适配gopro13 12挂脖运动相机挂脖支架户外骑行钓鱼拍摄支架,100058606275,挂脖支架SE版,1,58.6,58.6,58.6,0.0,否,,京东,2025-05-28,58.6
鼠标,无,无,1,53.91,53.91,53.91,0.0,否,,京东,2025-10-30,53.91
棉签,无,无,1,14.87,14.87,14.87,0.0,否,,京东,2025-10-30,14.87
酒精,无,无,1,23.41,23.41,23.41,0.0,否,,京东,2025-10-30,23.41
PBS,CBS004S-BR500,500ml/瓶,1,40.0,40.0,40.0,0.0,否,,中峤科技有限公司,2026-04-08,40.0
T300 培养瓶,,18个/箱,1,612.5,612.5,612.5,0.0,否,,中峤科技有限公司,2026-04-08,612.5
压差计,T5825,NA,1,7141.0,7141.0,7141.0,0.0,否,,中仪环科（北京）科技有限公司,2026-03-09,7141.0
洗衣粉,无,无,1,42.8,42.8,42.8,0.0,否,,,2025-09-10,42.8
快劳夹,无,无,1,58.5,58.5,58.5,0.0,否,,京东,2025-09-10,58.5
抽杆夹,无,无,1,8.54,8.54,8.54,0.0,否,,京东,2025-09-10,8.54
遥控器,无,无,1,23.65,23.65,23.65,0.0,否,,京东,2025-09-10,23.65
杀虫剂,无,无,1,33.9,33.9,33.9,0.0,否,,京东,2025-09-10,33.9
马桶刷,无,无,1,9.4,9.4,9.4,0.0,否,,京东,2025-09-10,9.4
空气清新剂,无,无,1,10.21,10.21,10.21,0.0,否,,京东,2025-09-10,10.21
抹布,无,无,1,19.8,19.8,19.8,0.0,否,,京东,2025-09-10,19.8
清洁剂,无,无,1,11.82,11.82,11.82,0.0,否,,京东,2025-09-10,11.82
金黄色葡萄球菌-CMCC（B）26003定量菌株,DL-C-A1-01,110~1100cfu/瓶   6瓶/盒,1,840.0,840.0,840.0,0.0,否,,浙江泰林生命科学有限公司,2025-10-15,840.0
门禁控制板,无,无,1,950.0,950.0,950.0,0.0,否,,京东,2025-06-26,950.0
一次性母鲁尔穿刺转接头,GL001,200套/箱,1,4000.0,4000.0,4000.0,0.0,否,,武汉桐康生物科技有限公司,2026-01-30,4000.0
细胞计数板,N3EF120,50片/盒,1,5.0,5.0,5.0,0.0,否,,微光智控（北京）科技有限公司,2026-04-16,5.0
红米电视遥控器,无,无,1,10.4,10.4,10.4,0.0,否,,京东,2025-03-10,10.4
公司领导接送打车费用,,,1,200.0,200.0,200.0,0.0,否,,滴滴,2026-05-18,200.0
研究方案查阅手册制作,,,1,15.0,15.0,15.0,0.0,否,,图文广告店,2026-05-18,15.0
易拉宝,,,1,100.0,100.0,100.0,0.0,否,,图文广告店,2026-05-18,100.0
启动会横幅制作,,,1,100.0,100.0,100.0,0.0,否,,图文广告店,2026-05-18,100.0
水果拼盘及饮品（矿泉水）,,,1,26.0,26.0,26.0,0.0,否,,美团,2026-05-18,26.0
50ml离心管,430829,25个/包,1,34.75,34.75,34.75,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-02-26,34.75
15ml离心管,430791,50个/包,1,61.46,61.46,61.46,0.0,否,,上海百赛生物技术股份有限公司北京分公司,2026-02-26,61.46
高效过滤器,无,无,1,23000.0,23000.0,23000.0,0.0,否,,,2025-09-22,23000.0
FLuc mRNA,R0202,1毫克,1,24000.0,24000.0,24000.0,0.0,否,,迈安纳（上海）科技有限公司,2025-08-27,24000.0
HUO Analogue-1,06040012500,100微克,1,1200.0,1200.0,1200.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1200.0
HUO Analogue-2,06040012900,100微克,1,1200.0,1200.0,1200.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1200.0
SNP16-4,06040022500,100微克,1,1000.0,1000.0,1000.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1000.0
SNP17-4,06040022600,100微克,1,1000.0,1000.0,1000.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1000.0
SNP24-1,06040019300,100微克,1,1200.0,1200.0,1200.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1200.0
SNP26-1,06040021500,100微克,1,1000.0,1000.0,1000.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1000.0
SNP35-1,06040023000,100微克,1,1200.0,1200.0,1200.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1200.0
SNP35-2,06040023100,100微克,1,1200.0,1200.0,1200.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1200.0
SNP36-1,06040022800,100微克,1,1000.0,1000.0,1000.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1000.0
DHA-1,06040009300,100微克,1,1000.0,1000.0,1000.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1000.0
DHA-3,06040010000,100微克,1,1000.0,1000.0,1000.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1000.0
"1,2-二油醇-3-二甲基氨基-丙烷R-DODMA",06040009600,100微克,1,1200.0,1200.0,1200.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1200.0
Lipid 5,06040018700,100微克,1,1000.0,1000.0,1000.0,0.0,否,,厦门赛诺邦格生物科技股份有限公司,2025-08-27,1000.0
75%酒精,100070468235,2500ml/桶，8桶/件,1,216.38,216.38,216.38,0.0,否,,京东,2026-05-09,216.38
抗酒精速干不掉色记号笔,100245123349,12支/盒,1,140.0,140.0,140.0,0.0,否,,京东,2026-05-09,140.0
耐高温高压灭菌医疗生物垃圾袋,110106009,50个/包,1,138.87,138.87,138.87,0.0,否,,京东,2026-05-09,138.87
BeyoFCT FcR封闭剂(Human),C1752S,50test                   用于外周血流式检测,1,698.0,698.0,698.0,0.0,否,,北京中研华誉生物技术有限公司,2026-03-27,698.0
氯化钠注射液,,250没聊：2.25g,1,8.0,8.0,8.0,0.0,否,,东莞富怡互联网医院有限公司,2025-07-14,8.0
医用一次性防护服-175连体,TPP-SPC,,1,15.0,15.0,15.0,0.0,否,,北京钎铧科技,2026-02-26,15.0
高温蒸汽布艺机,无,无,1,599.0,599.0,599.0,0.0,否,,京东,2025-09-22,599.0
鹭岛仪表,ZSLX-20,个,1,255.0,255.0,255.0,0.0,否,,京东自营,2025-10-18,255.0
7好电池,无,无,1,25.4,25.4,25.4,0.0,否,,京东,2025-10-11,25.4
尘推布,无,无,1,16.85,16.85,16.85,0.0,否,,京东,2025-10-11,16.85
打印机墨粉,无,无,1,572.0,572.0,572.0,0.0,否,,京东,2025-10-11,572.0
